citing,citing_long,citing_lat,citing_country,cited,cited_long,cited_lat,cited_country,citations
1228,152.34,-24.86,AUSTRALIA,12345,-118.24,34.05,UNITED STATES,1
1323,28.18,-25.74,SOUTH AFRICA,1323,28.18,-25.74,SOUTH AFRICA,4
1323,28.18,-25.74,SOUTH AFRICA,16280,-121.88,37.33,UNITED STATES,1
1323,28.18,-25.74,SOUTH AFRICA,19799,-75.16,39.95,UNITED STATES,1
1323,28.18,-25.74,SOUTH AFRICA,20265,-76.6,40.15,UNITED STATES,1
1323,28.18,-25.74,SOUTH AFRICA,41799,13.37,52.51,GERMANY,1
1323,28.18,-25.74,SOUTH AFRICA,43069,-2.24,53.47,UNITED KINGDOM,1
1464,28.04,-26.2,SOUTH AFRICA,21477,-74.41,40.75,UNITED STATES,1
1648,152.98,-27.39,AUSTRALIA,17400,-84.55,38.2,UNITED STATES,1
1687,153.02,-27.46,AUSTRALIA,2875,151.2,-33.83,AUSTRALIA,1
1706,153,-27.49,AUSTRALIA,1706,153,-27.49,AUSTRALIA,1
1706,153,-27.49,AUSTRALIA,23419,-91.52,41.65,UNITED STATES,1
1706,153,-27.49,AUSTRALIA,24578,-71.1,42.36,UNITED STATES,1
1706,153,-27.49,AUSTRALIA,39603,-3.18,51.48,UNITED KINGDOM,1
1765,-48.54,-27.59,BRAZIL,37724,-3.53,50.71,UNITED KINGDOM,1
1854,153.39,-28.04,AUSTRALIA,1854,153.39,-28.04,AUSTRALIA,1
1854,153.39,-28.04,AUSTRALIA,40632,4.47,51.92,NETHERLANDS,1
2196,151.66,-30.51,AUSTRALIA,3502,149.12,-35.3,AUSTRALIA,1
2375,115.8,-31.97,AUSTRALIA,1687,153.02,-27.46,AUSTRALIA,1
2375,115.8,-31.97,AUSTRALIA,2375,115.8,-31.97,AUSTRALIA,1
2375,115.8,-31.97,AUSTRALIA,3368,138.59,-34.92,AUSTRALIA,3
2419,115.94,-32.05,AUSTRALIA,2415,115.74,-32.05,AUSTRALIA,1
2624,26.53,-33.31,SOUTH AFRICA,1323,28.18,-25.74,SOUTH AFRICA,1
2901,151.2,-33.86,AUSTRALIA,1706,153,-27.49,AUSTRALIA,1
2901,151.2,-33.86,AUSTRALIA,2901,151.2,-33.86,AUSTRALIA,5
2901,151.2,-33.86,AUSTRALIA,2959,151.22,-33.9,AUSTRALIA,1
2901,151.2,-33.86,AUSTRALIA,9721,-95.36,29.76,UNITED STATES,1
2901,151.2,-33.86,AUSTRALIA,11670,-111.93,33.42,UNITED STATES,1
2901,151.2,-33.86,AUSTRALIA,18880,-76.6,39.29,UNITED STATES,1
2901,151.2,-33.86,AUSTRALIA,20622,-74.65,40.34,UNITED STATES,2
2901,151.2,-33.86,AUSTRALIA,21359,-74,40.71,UNITED STATES,1
2901,151.2,-33.86,AUSTRALIA,24559,-71.05,42.35,UNITED STATES,1
2901,151.2,-33.86,AUSTRALIA,25566,-81.24,42.98,CANADA,1
2901,151.2,-33.86,AUSTRALIA,27024,11.25,43.78,ITALY,1
2901,151.2,-33.86,AUSTRALIA,27756,-68.29,44.34,UNITED STATES,1
2901,151.2,-33.86,AUSTRALIA,39651,-0.12,51.5,UNITED KINGDOM,1
2901,151.2,-33.86,AUSTRALIA,39980,-3.94,51.62,UNITED KINGDOM,1
2901,151.2,-33.86,AUSTRALIA,40714,5.66,51.96,NETHERLANDS,1
2901,151.2,-33.86,AUSTRALIA,44956,-2.79,56.33,UNITED KINGDOM,1
2959,151.22,-33.9,AUSTRALIA,12239,-118.03,33.97,UNITED STATES,1
2959,151.22,-33.9,AUSTRALIA,16400,-122.16,37.43,UNITED STATES,1
2959,151.22,-33.9,AUSTRALIA,25882,-77.61,43.15,UNITED STATES,1
3098,150.81,-34.06,AUSTRALIA,3098,150.81,-34.06,AUSTRALIA,1
3240,-58.37,-34.6,ARGENTINA,38195,-1.4,50.9,UNITED KINGDOM,1
3368,138.59,-34.92,AUSTRALIA,3368,138.59,-34.92,AUSTRALIA,1
3368,138.59,-34.92,AUSTRALIA,3502,149.12,-35.3,AUSTRALIA,1
3368,138.59,-34.92,AUSTRALIA,27702,-78.31,44.3,CANADA,1
